Instance,Terminal,Layer,X location,Y location,Voltage
TAP_TAPCELL_ROW_10_39,VGND,li1,18.6300,38.3710,0.000059
TAP_TAPCELL_ROW_9_38,VGND,li1,31.5100,37.7880,0.000050
TAP_TAPCELL_ROW_8_37,VGND,li1,18.6300,32.9310,0.000112
TAP_TAPCELL_ROW_7_36,VGND,li1,31.5100,32.3480,0.000114
TAP_TAPCELL_ROW_6_35,VGND,li1,18.6300,27.4910,0.000283
TAP_TAPCELL_ROW_5_34,VGND,li1,31.5100,26.9080,0.000240
TAP_TAPCELL_ROW_4_33,VGND,li1,18.6300,22.0510,0.000167
TAP_TAPCELL_ROW_3_32,VGND,li1,31.5100,21.4680,0.000198
TAP_TAPCELL_ROW_2_31,VGND,li1,18.6300,16.6110,0.000130
TAP_TAPCELL_ROW_1_30,VGND,li1,31.5100,16.0280,0.000124
TAP_TAPCELL_ROW_0_29,VGND,li1,31.5100,11.1710,0.000005
TAP_TAPCELL_ROW_0_28,VGND,li1,18.6300,11.1710,0.000003
PHY_EDGE_ROW_13_Left_27,VGND,li1,6.2100,48.9600,0.000005
PHY_EDGE_ROW_12_Left_26,VGND,li1,6.2100,43.5200,0.000063
PHY_EDGE_ROW_11_Left_25,VGND,li1,6.2100,43.5200,0.000063
PHY_EDGE_ROW_10_Left_24,VGND,li1,6.2100,38.0800,0.000068
PHY_EDGE_ROW_9_Left_23,VGND,li1,6.2100,38.0800,0.000068
PHY_EDGE_ROW_8_Left_22,VGND,li1,6.2100,32.6400,0.000137
PHY_EDGE_ROW_7_Left_21,VGND,li1,6.2100,32.6400,0.000137
PHY_EDGE_ROW_6_Left_20,VGND,li1,6.2100,27.2000,0.000338
PHY_EDGE_ROW_5_Left_19,VGND,li1,6.2100,27.2000,0.000338
PHY_EDGE_ROW_4_Left_18,VGND,li1,6.2100,21.7600,0.000188
PHY_EDGE_ROW_3_Left_17,VGND,li1,6.2100,21.7600,0.000188
PHY_EDGE_ROW_2_Left_16,VGND,li1,6.2100,16.3200,0.000145
PHY_EDGE_ROW_1_Left_15,VGND,li1,6.2100,16.3200,0.000145
PHY_EDGE_ROW_0_Left_14,VGND,li1,6.2100,10.8800,0.000003
PHY_EDGE_ROW_13_Right_13,VGND,li1,44.3900,48.9600,0.000006
PHY_EDGE_ROW_12_Right_12,VGND,li1,44.3900,43.5200,0.000067
PHY_EDGE_ROW_11_Right_11,VGND,li1,44.3900,43.5200,0.000067
PHY_EDGE_ROW_10_Right_10,VGND,li1,44.3900,38.0800,0.000060
PHY_EDGE_ROW_9_Right_9,VGND,li1,44.3900,38.0800,0.000060
PHY_EDGE_ROW_8_Right_8,VGND,li1,44.3900,32.6400,0.000136
PHY_EDGE_ROW_7_Right_7,VGND,li1,44.3900,32.6400,0.000136
PHY_EDGE_ROW_6_Right_6,VGND,li1,44.3900,27.2000,0.000263
PHY_EDGE_ROW_5_Right_5,VGND,li1,44.3900,27.2000,0.000263
PHY_EDGE_ROW_4_Right_4,VGND,li1,44.3900,21.7600,0.000249
PHY_EDGE_ROW_3_Right_3,VGND,li1,44.3900,21.7600,0.000249
PHY_EDGE_ROW_2_Right_2,VGND,li1,44.3900,16.3200,0.000135
PHY_EDGE_ROW_1_Right_1,VGND,li1,44.3900,16.3200,0.000135
PHY_EDGE_ROW_0_Right_0,VGND,li1,44.3900,10.8800,0.000009
_154_,VGND,li1,38.8700,27.2000,0.000263
_153_,VGND,li1,36.8000,16.3200,0.000134
_152_,VGND,li1,26.6800,16.3200,0.000111
_151_,VGND,li1,25.5300,16.3200,0.000111
_150_,VGND,li1,25.7600,27.2000,0.000222
_149_,VGND,li1,13.5700,21.7600,0.000185
_148_,VGND,li1,14.0300,32.6400,0.000131
_147_,VGND,li1,13.5700,16.3200,0.000145
_146_,VGND,li1,39.1000,32.6400,0.000136
_145_,VGND,li1,41.6300,21.7600,0.000249
_144_,VGND,li1,42.0900,16.3200,0.000135
_143_,VGND,li1,32.4300,16.3200,0.000124
_142_,VGND,li1,31.0500,16.3200,0.000124
_141_,VGND,li1,31.0500,27.2000,0.000240
_140_,VGND,li1,19.5500,21.7600,0.000167
_139_,VGND,li1,15.8700,27.2000,0.000308
_138_,VGND,li1,19.5500,16.3200,0.000130
_137_,VGND,li1,38.6400,32.6400,0.000136
_136_,VGND,li1,33.5800,32.6400,0.000123
_135_,VGND,li1,28.7500,38.0800,0.000047
_134_,VGND,li1,27.3700,32.6400,0.000105
_133_,VGND,li1,22.3100,38.0800,0.000050
_132_,VGND,li1,17.9400,38.0800,0.000059
_131_,VGND,li1,14.4900,38.0800,0.000066
_130_,VGND,li1,30.1300,32.6400,0.000114
_129_,VGND,li1,36.5700,32.6400,0.000131
_128_,VGND,li1,37.0300,27.2000,0.000258
_127_,VGND,li1,32.8900,21.7600,0.000198
_126_,VGND,li1,30.1300,21.7600,0.000180
_125_,VGND,li1,38.4100,21.7600,0.000249
_124_,VGND,li1,32.4300,27.2000,0.000240
_123_,VGND,li1,29.2100,21.7600,0.000180
_122_,VGND,li1,26.6800,21.7600,0.000159
_121_,VGND,li1,28.2900,21.7600,0.000159
_120_,VGND,li1,32.8900,27.2000,0.000245
_119_,VGND,li1,20.4700,21.7600,0.000159
_118_,VGND,li1,22.7700,21.7600,0.000149
_117_,VGND,li1,24.6100,21.7600,0.000140
_116_,VGND,li1,20.0100,27.2000,0.000283
_115_,VGND,li1,23.6900,32.6400,0.000090
_114_,VGND,li1,21.3900,27.2000,0.000266
_113_,VGND,li1,20.4700,32.6400,0.000105
_112_,VGND,li1,8.0500,27.2000,0.000338
_111_,VGND,li1,8.5100,27.2000,0.000338
_110_,VGND,li1,11.2700,27.2000,0.000332
_109_,VGND,li1,8.0500,32.6400,0.000137
_108_,VGND,li1,10.5800,21.7600,0.000188
_107_,VGND,li1,40.0200,43.5200,0.000067
_106_,VGND,li1,40.7100,38.0800,0.000060
_105_,VGND,li1,37.0300,38.0800,0.000058
_104_,VGND,li1,34.9600,43.5200,0.000062
_103_,VGND,li1,34.7300,48.9600,0.000006
_102_,VGND,li1,33.3500,38.0800,0.000053
_101_,VGND,li1,33.3500,43.5200,0.000059
_100_,VGND,li1,30.1300,43.5200,0.000055
_099_,VGND,li1,27.1400,48.9600,0.000005
_098_,VGND,li1,21.3900,43.5200,0.000053
_097_,VGND,li1,26.4500,43.5200,0.000048
_096_,VGND,li1,24.6100,43.5200,0.000044
_095_,VGND,li1,17.4800,43.5200,0.000058
_094_,VGND,li1,10.1200,43.5200,0.000063
_093_,VGND,li1,13.1100,38.0800,0.000066
_092_,VGND,li1,8.5100,38.0800,0.000068
