net,length_um
_260_,6.04µm
_268_,6.02µm
psc[7],5.97µm
rst,5.97µm
_129_,5.94µm
_218_,5.94µm
_376_,5.84µm
_048_,5.79µm
_364_,5.785µm
psc[26],5.77µm
psc[25],5.75µm
_013_,5.74µm
_348_,5.72µm
net18,5.72µm
_073_,5.68µm
_171_,5.68µm
_219_,5.68µm
_292_,5.64µm
psc[8],5.63µm
_319_,5.6µm
_263_,5.58µm
_038_,5.56µm
out,5.53µm
_175_,5.48µm
_301_,5.48µm
_306_,5.48µm
_272_,5.44µm
_165_,5.4µm
_313_,5.36µm
_159_,5.34µm
psc[11],5.29µm
_128_,5.28µm
_094_,5.26µm
_184_,5.26µm
_267_,5.26µm
_308_,5.14µm
_172_,5.12µm
_061_,5.1µm
psc[21],5.07µm
_323_,5.06µm
_246_,5.02µm
_011_,5µm
psc[3],4.95µm
psc[4],4.95µm
psc[9],4.95µm
_079_,4.92µm
_351_,4.92µm
_385_,4.92µm
_328_,4.88µm
_374_,4.88µm
_226_,4.82µm
_342_,4.82µm
psc[24],4.73µm
_234_,4.7µm
_105_,4.68µm
_133_,4.68µm
_303_,4.68µm
psc[10],4.61µm
psc[5],4.61µm
psc[6],4.61µm
_270_,4.6µm
_068_,4.58µm
_264_,4.54µm
_015_,4.48µm
_087_,4.48µm
_298_,4.47µm
_131_,4.42µm
psc[16],4.39µm
psc[23],4.39µm
_279_,4.345µm
_383_,4.32µm
_284_,4.24µm
_304_,4.14µm
net47,4.14µm
_024_,4.12µm
_067_,4.1µm
_196_,4.02µm
_205_,4.02µm
_190_,4µm
net44,4µm
_028_,3.98µm
_203_,3.9µm
net46,3.9µm
_001_,3.88µm
_228_,3.88µm
_235_,3.88µm
_276_,3.88µm
_371_,3.88µm
_372_,3.88µm
_050_,3.76µm
_055_,3.76µm
_018_,3.69µm
_208_,3.66µm
_213_,3.66µm
_248_,3.64µm
_180_,3.56µm
_254_,3.56µm
_353_,3.56µm
_212_,3.54µm
_006_,3.42µm
_115_,3.42µm
_233_,3.32µm
_291_,3.32µm
_102_,3.315µm
_293_,3.3µm
_206_,3.28µm
_037_,3.23µm
_249_,3.18µm
_057_,3.13µm
_330_,3.08µm
_333_,3.08µm
_215_,2.96µm
_331_,2.96µm
_031_,2.925µm
_016_,2.84µm
_065_,2.84µm
_100_,2.84µm
_281_,2.84µm
_312_,2.795µm
_288_,2.76µm
_000_,2.74µm
_017_,2.74µm
_022_,2.74µm
_256_,2.72µm
_036_,2.69µm
_041_,2.69µm
_044_,2.69µm
_064_,2.69µm
_026_,2.64µm
_146_,2.64µm
_187_,2.64µm
_236_,2.64µm
_004_,2.62µm
_173_,2.62µm
_217_,2.62µm
_220_,2.62µm
_144_,2.58µm
_046_,2.57µm
_049_,2.5µm
_149_,2.5µm
_250_,2.46µm
_309_,2.4µm
_033_,2.38µm
_047_,2.38µm
_051_,2.38µm
_052_,2.38µm
_063_,2.38µm
_367_,2.345µm
_014_,2.305µm
_195_,2.3µm
_238_,2.3µm
_053_,2.28µm
_040_,2.23µm
_043_,2.23µm
_056_,2.23µm
_007_,2.18µm
_009_,2.18µm
_010_,2.18µm
_012_,2.18µm
_021_,2.18µm
_027_,2.18µm
_029_,2.18µm
_136_,2.18µm
_003_,2.16µm
_019_,2.16µm
_108_,2.16µm
_163_,2.16µm
_227_,2.16µm
_062_,2.04µm
_241_,2.04µm
_112_,1.945µm
_252_,1.94µm
_008_,1.84µm
_161_,1.84µm
_202_,1.84µm
_002_,1.82µm
_005_,1.82µm
_039_,1.82µm
_054_,1.82µm
_286_,1.8µm
_285_,1.72µm
_297_,1.72µm
_300_,1.72µm
_365_,1.72µm
_020_,1.7µm
_035_,1.7µm
_232_,1.7µm
_278_,1.7µm
_382_,1.7µm
_271_,1.68µm
net63,1.6µm
_336_,1.38µm
_377_,1.38µm
_023_,1.36µm
_058_,1.36µm
_059_,1.36µm
_156_,1.26µm
_244_,1.22µm
_221_,1.14µm
_337_,1.14µm
_135_,1.085µm
_305_,0.92µm
_366_,0.92µm
