net,length_um
net21,127.48µm
net26,106.54µm
clknet_1_1__leaf_clk,85.22µm
counter\[4\],75.96µm
net15,68.305µm
_080_,68.04µm
net19,64.58µm
counter\[5\],63.68µm
counter\[7\],62.51µm
counter\[3\],62.18µm
clknet_1_0__leaf_clk,60.24µm
_075_,56.62µm
counter\[8\],55.27µm
counter\[2\],53.44µm
_160_,53.31µm
counter\[10\],52.5µm
net22,52.275µm
net6,48.01µm
net20,45.69µm
_172_,44.38µm
clk,43.17µm
counter\[0\],42.08µm
counter\[6\],40.76µm
counter\[11\],39.16µm
_104_,38.74µm
_100_,38.66µm
counter\[12\],38.38µm
counter\[13\],36.24µm
counter\[9\],34.44µm
_165_,33.66µm
_164_,33.26µm
counter\[15\],32.86µm
_016_,32.76µm
net16,32.53µm
net5,32.455µm
counter\[14\],32.04µm
_084_,31.82µm
_153_,31.82µm
net8,30.605µm
_090_,27.7µm
net3,27.41µm
net17,26.56µm
net25,26.48µm
_094_,26.34µm
net2,26µm
net4,25.8µm
_155_,25.38µm
net11,25.28µm
net28,24.34µm
_118_,23.76µm
_174_,23.46µm
net9,22.38µm
_147_,22.34µm
_114_,21.82µm
clknet_0_clk,21.4µm
_145_,21.38µm
_162_,20.845µm
net10,20.68µm
_139_,20.58µm
_054_,20.44µm
_037_,19.61µm
net13,19.32µm
counter\[1\],18.54µm
_096_,17.58µm
_110_,17.38µm
_059_,17.02µm
_169_,16.32µm
net14,16.08µm
_047_,15.88µm
_175_,15.76µm
net1,15.76µm
_055_,15.52µm
_085_,15.44µm
_167_,15.4µm
_039_,15.2µm
_092_,15.14µm
_128_,14.9µm
_129_,14.84µm
_071_,14.74µm
_122_,14.72µm
net12,14.695µm
_150_,14.64µm
_056_,14.04µm
_082_,13.92µm
_106_,13.84µm
_044_,13.7µm
_098_,13.3µm
_005_,13.04µm
_060_,12.87µm
_123_,12.84µm
psc[15],12.7µm
_166_,12.54µm
_115_,12.5µm
psc[8],12.5µm
_119_,12.38µm
_064_,12.2µm
_154_,11.88µm
_143_,11.7µm
_124_,11.62µm
_112_,11.54µm
_142_,11.24µm
out,11.22µm
psc[11],11µm
psc[5],11µm
_095_,10.92µm
_121_,10.86µm
psc[4],10.54µm
psc[6],10.54µm
psc[14],10.44µm
net27,10.32µm
_088_,10.24µm
psc[10],10.08µm
psc[7],10.08µm
psc[9],10.08µm
_045_,9.94µm
_111_,9.94µm
_151_,9.94µm
_163_,9.82µm
_157_,9.7µm
_052_,9.66µm
_073_,9.48µm
_019_,9.47µm
_099_,9.38µm
_034_,9.36µm
_105_,9.26µm
_023_,9.07µm
_170_,9.02µm
_173_,9.02µm
_063_,8.94µm
_126_,8.92µm
_127_,8.9µm
_062_,8.84µm
net7,8.8µm
psc[13],8.72µm
_125_,8.52µm
_137_,8.5µm
_020_,8.48µm
_117_,8.48µm
_051_,8.4µm
_069_,8.36µm
_158_,8.29µm
psc[3],8.29µm
_083_,8.24µm
_068_,8.2µm
_066_,8.12µm
_102_,8.02µm
psc[1],8.01µm
_109_,8µm
_028_,7.83µm
_144_,7.78µm
_146_,7.78µm
_057_,7.7µm
_014_,7.18µm
_131_,7.14µm
_048_,7.06µm
_007_,6.865µm
net23,6.78µm
_130_,6.72µm
psc[12],6.65µm
psc[0],6.53µm
_036_,6.52µm
_081_,6.5µm
_001_,6.26µm
_027_,6.23µm
_077_,6.18µm
_152_,6.18µm
_149_,6.14µm
_011_,5.96µm
_013_,5.92µm
_138_,5.72µm
net18,5.72µm
_168_,5.58µm
_058_,5.56µm
_042_,5.48µm
_009_,5.4µm
_067_,5.38µm
_078_,5.34µm
_156_,5.34µm
_043_,5.28µm
_065_,5.26µm
_089_,5.16µm
_116_,5.14µm
_101_,5.12µm
_070_,5.11µm
_050_,5.08µm
_031_,5.07µm
_049_,5.04µm
_038_,4.94µm
_010_,4.92µm
_079_,4.92µm
_061_,4.895µm
_072_,4.88µm
_148_,4.88µm
psc[2],4.85µm
_134_,4.8µm
_161_,4.68µm
_141_,4.66µm
_040_,4.6µm
_086_,4.56µm
_136_,4.46µm
_140_,4.14µm
_008_,3.88µm
_002_,3.76µm
_103_,3.74µm
_021_,3.59µm
_035_,3.54µm
rst,3.47µm
_093_,3.32µm
_108_,3.32µm
_091_,3.22µm
_107_,3.18µm
_053_,3.08µm
_135_,2.98µm
_000_,2.84µm
_029_,2.84µm
_033_,2.77µm
_012_,2.74µm
_018_,2.69µm
_132_,2.64µm
_003_,2.62µm
_017_,2.38µm
_022_,2.38µm
_006_,2.305µm
_046_,2.3µm
_097_,2.3µm
net24,2.3µm
net29,2.29µm
_024_,2.23µm
_026_,2.23µm
_113_,2.19µm
_004_,2.16µm
_074_,2.16µm
_025_,1.82µm
_030_,1.82µm
_032_,1.82µm
_133_,1.72µm
_041_,1.38µm
_171_,1.38µm
_015_,1.36µm
_159_,1.36µm
_087_,1.22µm
_120_,1.02µm
_076_,0.46µm
