net,length_um
net9,78.2µm
_051_,75.84µm
counter\[0\],54.01µm
counter\[4\],51.78µm
counter\[2\],47.7µm
counter\[5\],44.925µm
clknet_1_0__leaf_clk,41.16µm
counter\[6\],36.48µm
counter\[3\],34µm
counter\[7\],32.38µm
counter\[1\],29.265µm
clknet_1_1__leaf_clk,27.48µm
_054_,24.76µm
net2,23.855µm
_022_,22.18µm
_021_,20.88µm
clknet_0_clk,20.64µm
clk,20.13µm
net1,18.655µm
_042_,18.12µm
net3,17.26µm
_059_,16.22µm
_035_,15.2µm
net8,14.1µm
psc[3],13.98µm
_027_,13.385µm
net7,13.18µm
psc[4],12.6µm
_028_,11.96µm
psc[5],11.68µm
_063_,11.08µm
psc[6],10.76µm
_038_,10.68µm
net6,10.34µm
_040_,10.2µm
out,9.89µm
_029_,9.6µm
_048_,9.24µm
net5,9.12µm
_018_,8.9µm
_044_,7.98µm
_064_,7.64µm
_006_,7.18µm
_062_,7.18µm
_023_,7.1µm
_020_,7.06µm
_019_,6.86µm
_052_,6.6µm
_033_,6.52µm
_041_,6.32µm
_039_,6.08µm
_004_,6.06µm
psc[7],5.97µm
rst,5.97µm
_032_,5.93µm
_017_,5.83µm
_050_,5.72µm
net10,5.72µm
_066_,5.7µm
_070_,5.7µm
_031_,5.68µm
net4,5.48µm
_015_,5.33µm
psc[1],5.29µm
_008_,5.235µm
net12,5µm
psc[0],4.95µm
psc[2],4.95µm
_036_,4.92µm
_056_,4.86µm
_030_,4.82µm
_043_,4.8µm
net11,4.8µm
_005_,4.54µm
_057_,4.48µm
_025_,4.46µm
_055_,4.44µm
_037_,4.34µm
_069_,4.02µm
_045_,4µm
_060_,3.64µm
_067_,3.56µm
_072_,3.44µm
_001_,3.42µm
_071_,3.42µm
_010_,3.15µm
_012_,3.15µm
_002_,3.08µm
_014_,2.69µm
_053_,2.62µm
_011_,2.38µm
_013_,2.23µm
_016_,2.23µm
_003_,2.18µm
_024_,2.04µm
_000_,1.845µm
_007_,1.82µm
_047_,1.82µm
_009_,1.7µm
_026_,1.7µm
_049_,1.7µm
_068_,1.6µm
_058_,1.56µm
_061_,1.46µm
_034_,1.14µm
_046_,0.92µm
_065_,0.92µm
