Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_31_184,VGND,li1,91.5400,97.9200,0.000044
FILLER_31_172,VGND,li1,87.4000,97.9200,0.000044
FILLER_31_141,VGND,li1,70.6100,97.9200,0.000040
FILLER_31_139,VGND,li1,69.6900,97.9200,0.000040
FILLER_31_125,VGND,li1,63.9400,97.9200,0.000038
FILLER_31_113,VGND,li1,60.2600,97.9200,0.000036
FILLER_31_111,VGND,li1,56.8100,97.9200,0.000034
FILLER_31_105,VGND,li1,54.5100,97.9200,0.000033
FILLER_31_97,VGND,li1,51.9800,97.9200,0.000032
FILLER_31_85,VGND,li1,47.3800,97.9200,0.000030
FILLER_31_76,VGND,li1,42.3200,97.9200,0.000027
FILLER_31_41,VGND,li1,25.7600,97.9200,0.000013
FILLER_31_29,VGND,li1,21.6200,97.9200,0.000013
FILLER_31_27,VGND,li1,18.1700,97.9200,0.000013
FILLER_31_15,VGND,li1,15.1800,97.9200,0.000013
FILLER_31_3,VGND,li1,9.6600,97.9200,0.000013
FILLER_30_182,VGND,li1,91.0800,92.4800,0.000166
FILLER_30_170,VGND,li1,86.4800,92.4800,0.000166
FILLER_30_93,VGND,li1,48.9900,92.4800,0.000134
FILLER_30_85,VGND,li1,46.4600,92.4800,0.000127
FILLER_30_76,VGND,li1,42.3200,92.4800,0.000113
FILLER_30_64,VGND,li1,37.7200,92.4800,0.000103
FILLER_30_42,VGND,li1,25.0700,92.4800,0.000053
FILLER_30_29,VGND,li1,20.7000,92.4800,0.000054
FILLER_30_27,VGND,li1,18.1700,92.4800,0.000054
FILLER_30_15,VGND,li1,15.1800,92.4800,0.000055
FILLER_30_3,VGND,li1,9.6600,92.4800,0.000056
FILLER_29_189,VGND,li1,92.6900,92.4800,0.000166
FILLER_29_181,VGND,li1,90.6200,92.4800,0.000166
FILLER_29_169,VGND,li1,86.0200,92.4800,0.000166
FILLER_29_144,VGND,li1,72.2200,92.4800,0.000166
FILLER_29_138,VGND,li1,69.6900,92.4800,0.000165
FILLER_29_130,VGND,li1,65.7800,92.4800,0.000164
FILLER_29_123,VGND,li1,62.7900,92.4800,0.000160
FILLER_29_111,VGND,li1,56.8100,92.4800,0.000152
FILLER_29_101,VGND,li1,52.2100,92.4800,0.000143
FILLER_29_93,VGND,li1,50.1400,92.4800,0.000134
FILLER_29_84,VGND,li1,45.5400,92.4800,0.000121
FILLER_29_72,VGND,li1,41.4000,92.4800,0.000113
FILLER_29_60,VGND,li1,35.8800,92.4800,0.000098
FILLER_29_55,VGND,li1,31.0500,92.4800,0.000082
FILLER_29_31,VGND,li1,20.0100,92.4800,0.000054
FILLER_29_25,VGND,li1,18.4000,92.4800,0.000054
FILLER_29_13,VGND,li1,14.2600,92.4800,0.000055
FILLER_28_182,VGND,li1,91.0800,87.0400,0.000106
FILLER_28_170,VGND,li1,86.4800,87.0400,0.000106
FILLER_28_158,VGND,li1,80.9600,87.0400,0.000106
FILLER_28_144,VGND,li1,73.1400,87.0400,0.000105
FILLER_28_138,VGND,li1,69.4600,87.0400,0.000103
FILLER_28_126,VGND,li1,66.2400,87.0400,0.000102
FILLER_28_114,VGND,li1,60.7200,87.0400,0.000100
FILLER_28_83,VGND,li1,43.9300,87.0400,0.000086
FILLER_28_75,VGND,li1,41.8600,87.0400,0.000082
FILLER_28_63,VGND,li1,37.2600,87.0400,0.000073
FILLER_28_55,VGND,li1,31.0500,87.0400,0.000049
FILLER_28_49,VGND,li1,29.4400,87.0400,0.000049
FILLER_28_35,VGND,li1,21.8500,87.0400,0.000035
FILLER_28_29,VGND,li1,20.2400,87.0400,0.000036
FILLER_28_27,VGND,li1,18.1700,87.0400,0.000037
FILLER_28_23,VGND,li1,17.0200,87.0400,0.000037
FILLER_28_19,VGND,li1,14.4900,87.0400,0.000038
FILLER_28_11,VGND,li1,11.2700,87.0400,0.000038
FILLER_28_3,VGND,li1,8.7400,87.0400,0.000038
FILLER_27_189,VGND,li1,92.6900,87.0400,0.000106
FILLER_27_181,VGND,li1,90.6200,87.0400,0.000106
FILLER_27_169,VGND,li1,86.0200,87.0400,0.000106
FILLER_27_165,VGND,li1,82.1100,87.0400,0.000106
FILLER_27_142,VGND,li1,71.3000,87.0400,0.000104
FILLER_27_134,VGND,li1,69.0000,87.0400,0.000103
FILLER_27_121,VGND,li1,61.8700,87.0400,0.000101
FILLER_27_113,VGND,li1,59.3400,87.0400,0.000100
FILLER_27_106,VGND,li1,55.6600,87.0400,0.000098
FILLER_27_97,VGND,li1,50.3700,87.0400,0.000095
FILLER_27_90,VGND,li1,47.1500,87.0400,0.000090
FILLER_27_86,VGND,li1,46.0000,87.0400,0.000090
FILLER_27_61,VGND,li1,33.8100,87.0400,0.000063
